Lisson Gallery（ﾘｯｿﾝ･ｷﾞｬﾗﾘｰ / ﾛﾝﾄﾞﾝ･ﾆｭｰﾖｰｸ･ﾛｻﾝｾﾞﾙｽ･ﾍﾟｷﾝ･ｼｬﾝﾊｲ）,https://www.lissongallery.com/exhibitions/year/2025,https://www.lissongallery.com/artists
Jane Lombard（ｼﾞｪｰﾝ･ﾛﾝﾊﾞｰﾄﾞ / ﾆｭｰﾖｰｸ）,https://www.janelombardgallery.com/exhibitions/,https://www.janelombardgallery.com/artists/categories/1/
Kate MacGarry（ｹｲﾄ･ﾏｸｶﾞﾘｰ / ﾛﾝﾄﾞﾝ）,https://www.katemacgarry.com/exhibitions/past/,https://www.katemacgarry.com/artists/
Maisterravalbuena（ﾏｲｽﾃﾗｳﾞｧﾙﾌﾞｴﾅ / ﾏﾄﾞﾘｰﾄﾞ）,https://maisterravalbuena.com/past/,https://maisterravalbuena.com/artista/
Francesca Minini（ﾌﾗﾝﾁｪｽｶ･ﾐﾆｰﾆ / ﾐﾗﾉ）,https://www.francescaminini.it/exhibitions/?mobile,https://www.francescaminini.it/artists/?mobile
Galleria Massimo Minini（ｶﾞﾚﾘｱ･ﾏｯｼﾓ･ﾐﾆｰﾆ / ﾌﾞﾚｼｱ）,https://www.galleriaminini.it/,https://www.galleriaminini.it/artists/
Victoria Miro（ｳﾞｨｸﾄﾘｱ･ﾐﾛ / ﾛﾝﾄﾞﾝ･ｳﾞｪﾈﾂｨｱ）,https://www.victoria-miro.com/exhibitions/,https://www.victoria-miro.com/artists/
mor charpentier（ﾓｰ･ｼｬﾙﾊﾟﾝﾃｨｴ / ﾊﾟﾘ･ﾎﾞｺﾞﾀ）,https://www.mor-charpentier.com/exhibitions/,https://www.mor-charpentier.com/artists/
Nature Morte（ﾅﾁｭｰﾙ･ﾓﾙﾄ / ﾆｭｰﾃﾞﾘｰ･ﾑﾝﾊﾞｲ）,https://naturemorte.com/exhibitions/,https://naturemorte.com/artists/
Galleria Lorcan O'Neill（ｶﾞﾚﾘｱ･ﾛｰｶﾝ･ｵﾆｰﾙ / ﾛｰﾏ･ｳﾞｪﾈﾂｨｱ）,https://www.lorcanoneill.com/site/elencoEsibizioniPassate.php,https://www.lorcanoneill.com/site/elencoArtisti.php
P420（P420 / ﾎﾞﾛｰﾆｬ）,https://www.p420.it/exhibitions,https://www.p420.it/artists
Pace Gallery（ﾍﾟｰｽ･ｷﾞｬﾗﾘｰ / ﾍﾞﾙﾘﾝ･ﾄｳｷｮｳ･ﾎﾝｺﾝ･ﾛｻﾝｾﾞﾙｽ･ｼﾞｭﾈｰﾌﾞ･ｿｳﾙ･ﾛﾝﾄﾞﾝ･ﾆｭｰﾖｰｸ）,https://www.pacegallery.com/exhibitions/status/archive/,https://www.pacegallery.com/artists/
Maureen Paley（ﾓｰﾘﾝ･ﾍﾟｲﾘｰ / ﾛﾝﾄﾞﾝ･ﾎｰｳﾞ）,https://www.maureenpaley.com/exhibitions/past,https://www.maureenpaley.com/artists
Perrotin（ﾍﾟﾛﾀﾝ / ﾎﾝｺﾝ･ﾛｻﾝｾﾞﾙｽ･ｿｳﾙ･ﾊﾟﾘ･ｼｬﾝﾊｲ･ﾄｳｷｮｳ･ﾆｭｰﾖｰｸ･ﾄﾞﾊﾞｲ）,https://www.perrotin.com/exhibitions/past,https://www.perrotin.com/artists/list
PKM Gallery（PKMｷﾞｬﾗﾘｰ / ｿｳﾙ）,https://www.pkmgallery.com/exhibitions,https://www.pkmgallery.com/artists
PM8 / Francisco Salas（PM8 / ﾌﾗﾝｼｽｺ･ｻﾗｽ / ｳﾞｨｰｺﾞ）,https://www.pm8galeria.com/exhibitions/,https://www.pm8galeria.com/artists/
